WKT,Название,Широта,Долгота,Количество,Процент
"POINT (34.799 50.907)",Сумский РВК,50.907,34.799,13.0,24.1
"POINT (34.799 50.907)",Сумский ГВК,50.907,34.799,9.0,16.7
"POINT (28.056 49.091)",Ладыжинский РВК,49.091,28.056,5.0,9.3
"POINT (37.541 47.095)",Мариупольский ГВК,47.095,37.541,3.0,5.6
"POINT (26.263 51.537)",Сарненский РВК,51.537,26.263,3.0,5.6
"POINT (35.046 48.464)",Октябрьский РВК,48.464,35.046,2.0,3.7
"POINT (38.975 45.035)",Краснодарский ГВК,45.035,38.975,2.0,3.7
"POINT (40.972 56.999)",Ивановский ГВК,56.999,40.972,2.0,3.7
"POINT (41.758 51.659)",Буденновский РВК,51.659,41.758,2.0,3.7
"POINT (38.102 46.358)",Приморско-Ахтарский РВК,46.358,38.102,2.0,3.7
