digitalFilm	recordCount	collectionTitle	sampleHitId	sampleRecordMediaUrl	sampleMicrofilmUrl
004348040_002_M9SQ-GF9	2	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	FNJP-RLM	https://www.familysearch.org/ark:/61903/1:2:9XFX-4DB	https://www.familysearch.org/ark:/61903/3:1:S3HT-D837-S1Y
004471168_002_M9SW-FJW	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	FNPH-CY2	https://www.familysearch.org/ark:/61903/1:2:1KQJ-RRL	https://www.familysearch.org/ark:/61903/3:1:9Q97-YMBS-T5G
004471174_002_M9SW-FXY	2	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	FNPL-DZ9	https://www.familysearch.org/ark:/61903/1:2:1KQV-XLW	https://www.familysearch.org/ark:/61903/3:1:9Q97-YMBS-Q7Y
004471328	3	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	KX55-RQ6	https://www.familysearch.org/ark:/61903/1:2:9MKM-MV48	https://www.familysearch.org/ark:/61903/3:1:33SQ-GPQ7-4KJT
004471340	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	KX5B-J7X	https://www.familysearch.org/ark:/61903/1:2:9MKM-9YSK	https://www.familysearch.org/ark:/61903/3:1:33S7-9PQ7-455F
004471346_001_M9SW-FR9	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	KX5X-2QB	https://www.familysearch.org/ark:/61903/1:2:9MV1-TRPB	https://www.familysearch.org/ark:/61903/3:1:9Q97-YMB7-6LQ
004497871_004_M9SW-YY9	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	KXRF-DPV	https://www.familysearch.org/ark:/61903/1:2:9MKM-HPVK	https://www.familysearch.org/ark:/61903/3:1:33S7-9PQ7-7P71
004497882_003_M9SW-TBF	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	KXRK-X1Z	https://www.familysearch.org/ark:/61903/1:2:9MKM-ZF7D	https://www.familysearch.org/ark:/61903/3:1:33S7-9PQ7-41P6
004497903_002_M9SW-YXN	2	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	KBTV-F9T	https://www.familysearch.org/ark:/61903/1:2:9MBR-ZM57	https://www.familysearch.org/ark:/61903/3:1:9Q97-YSN9-QLZ9
004498021_004_M9SW-TDV	4	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	Q2QN-WYN1	https://www.familysearch.org/ark:/61903/1:2:QL9J-4ZBD	https://www.familysearch.org/ark:/61903/3:1:9Q97-YSJS-RX3
004498110_003_M9SW-BMY	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	QVSZ-VX87	https://www.familysearch.org/ark:/61903/1:2:QKLF-BKBX	https://www.familysearch.org/ark:/61903/3:1:9Q97-YSJT-JR
004498143	2	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	QVSZ-B2TR	https://www.familysearch.org/ark:/61903/1:2:QKLN-S297	https://www.familysearch.org/ark:/61903/3:1:9Q97-YSN9-WVSY
004499043	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	Q2QN-PZ5S	https://www.familysearch.org/ark:/61903/1:2:QL9J-NSR5	https://www.familysearch.org/ark:/61903/3:1:9Q97-YSJW-JKX
004543350_002_M9S4-VGZ	4	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	Q2QJ-4SC3	https://www.familysearch.org/ark:/61903/1:2:QL9J-G5H5	https://www.familysearch.org/ark:/61903/3:1:9398-QC9K-Z7
004545088	2	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	Q2QJ-L3V8	https://www.familysearch.org/ark:/61903/1:2:QL9J-1VSW	https://www.familysearch.org/ark:/61903/3:1:9398-HQ3T-9
004545090	3	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	Q2QJ-LVS9	https://www.familysearch.org/ark:/61903/1:2:QL9J-15RH	https://www.familysearch.org/ark:/61903/3:1:9398-4FS4-8
004545195_001_M9S4-2GM	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	71VJ-TJ6Z	https://www.familysearch.org/ark:/61903/1:2:7JTD-S4T2	https://www.familysearch.org/ark:/61903/3:1:9398-4N9Q-P8
004546081_003_M9S4-27F	1	Ukraine, Kyiv, Orthodox Consistory Church Book Duplicates, 1723-1931	6X7J-Y5TC	https://www.familysearch.org/ark:/61903/1:2:41H1-31QV	https://www.familysearch.org/ark:/61903/3:1:9398-HQSQ-G3
